SESSO_FASCIA_SCOPO,ENOJY,CAR2GO,TOTAL
1 1 11,1.89596618333,1.87422742075,1.88391446717
1 1 7,1.451319571,1.43016978174,1.43191879415
1 1 4,1.78976198105,1.76992091447,1.7787623254
1 1 3,1.3862658844,1.38019353356,1.38242627625
1 1 6,1.99152516097,1.99298863561,1.99233649422
1 1 5,1.99160784233,1.99217451984,1.99192200172
1 1 8,1.16599129032,1.17572709927,1.16283767891
1 1 1,1.9275711318,1.90532996611,1.91524088922
1 1 10,1.98292629991,1.98592742739,1.98459008994
1 1 9,1.8883388282,1.88155446268,1.88457765517
1 1 2,1.97868888039,1.97678939323,1.97763582689
1 2 11,1.62371212714,1.5970350046,1.60892264188
1 2 7,1.09337092611,1.05639577386,1.06564889122
1 2 4,1.21573576542,1.20124754557,1.20262987536
1 2 3,1.39693902901,1.43504660705,1.4177272131
1 2 6,1.72675878748,1.67087965644,1.69266762768
1 2 5,1.3323673596,1.3288942821,1.32472771154
1 2 8,0.82070774305,0.814242952661,0.801960618861
1 2 1,0.885524885651,0.909138348756,0.88972711269
1 2 10,1.9624626642,1.93104937861,1.94504750545
1 2 9,1.61861157332,1.59127128161,1.59625667218
1 2 2,1.39267653116,1.34607396823,1.3649011349
1 4 11,1.99468772285,1.9923074367,1.99336812
1 4 7,1.31019700154,1.2643414804,1.28059582069
1 4 4,1.19424568032,1.16611988006,1.17218546445
1 4 3,1.98594416941,1.98320263175,1.98442429294
1 4 6,1.62124831576,1.60218029171,1.61052051362
1 4 5,1.72729621629,1.69708579783,1.70233911934
1 4 8,1.0846715029,1.06540936043,1.06437660491
1 4 1,1.91159295968,1.85465541304,1.88002744861
1 4 10,1.95543474891,1.92513457832,1.93863668811
1 4 9,1.64517295906,1.65549713462,1.64990574724
1 4 2,1.8567752204,1.81275337277,1.83237002206
1 3 11,1.98253356346,1.98411643517,1.98341108906
1 3 7,1.33451854573,1.24770627625,1.28424302609
1 3 4,1.14057359707,1.11656896111,1.12018257169
1 3 3,1.99344750251,1.99106134113,1.9921246425
1 3 6,1.702347117,1.70494118429,1.69593818692
1 3 5,1.56742061729,1.59075452471,1.58035666312
1 3 8,0.956900587488,0.933375741655,0.929257247289
1 3 1,1.22729763395,1.19255550896,1.20382369127
1 3 10,1.96049898199,1.9600086396,1.96022714189
1 3 9,1.6932521678,1.64336744866,1.66559666195
1 3 2,1.59221809869,1.57355332288,1.58187056491
2 1 11,1.95805988197,1.94651757825,1.95166096356
2 1 7,1.51731593861,1.45895781695,1.48330604449
2 1 4,1.68998625422,1.65101233526,1.66540062903
2 1 3,1.30585889528,1.29086615561,1.28869347559
2 1 6,1.97312855917,1.98031169004,1.97711080306
2 1 5,1.95448391331,1.96592343989,1.96082585328
2 1 8,1.18196841697,1.1806530812,1.17324064857
2 1 1,1.95576547433,1.96685385791,1.96191274472
2 1 10,1.99716816354,1.99810593474,1.99768805294
2 1 9,1.8339344957,1.78984182894,1.80949003606
2 1 2,1.96822968881,1.96592343989,1.96695113133
2 2 11,1.80257759129,1.74330431315,1.76971717795
2 2 7,1.22689468825,1.18194786207,1.19999933011
2 2 4,1.17800998442,1.14446388346,1.15575113899
2 2 3,1.6368231931,1.56555673579,1.59731390126
2 2 6,1.47163020566,1.46291224006,1.46222054378
2 2 5,1.27023865233,1.24442362238,1.24639695067
2 2 8,0.890772326539,0.872455142604,0.862973246984
2 2 1,0.901632895994,0.880889018331,0.873735452465
2 2 10,1.97759335242,1.9846148734,1.98148600167
2 2 9,1.52983972351,1.5315415952,1.52747276868
2 2 2,1.55360335686,1.4672328292,1.50075760018
2 4 11,1.997622911,1.99887020669,1.99831439717
2 4 7,1.42235512485,1.3576178591,1.38469444653
2 4 4,1.24747548341,1.21187452697,1.21982450317
2 4 3,1.93805099373,1.93063401342,1.93393910645
2 4 6,1.55054414668,1.55524803644,1.55197263022
2 4 5,1.65067126926,1.64070166352,1.64366842061
2 4 8,1.09734023044,1.06512935724,1.06528668134
2 4 1,1.93614932253,1.8952116701,1.913453966
2 4 10,1.95138336244,1.94101814315,1.94563700589
2 4 9,1.51977200616,1.53786003855,1.52833222034
2 4 2,1.9362940149,1.92810859308,1.93175611261
2 3 11,1.95936211334,1.94586960856,1.95188202622
2 3 7,1.39321287721,1.36134374588,1.3755450029
2 3 4,1.18151533702,1.16000697814,1.16441334343
2 3 6,1.53866760584,1.53796744559,1.53694725919
2 3 5,1.63410863581,1.62759753738,1.63030299268
2 3 8,0.9774292802,0.972535620744,0.963173579003
2 3 1,1.1518851164,1.18562958242,1.16573507383
2 3 10,1.99768492202,1.99905296737,1.99844335039
2 3 9,1.62899274165,1.60562842062,1.61603983487
2 3 2,1.74362578418,1.67737755034,1.70689853684
